Area,BHK,Bathroom,Furnishing,Location,District,Locality,Parking,Status,Transaction,Type,Per_Sqft,Price
807.2925,2,2,Unfurnished,Paschim Vihar, West Delhi,"Archana Apartment, Paschim Vihar",1,Ready_to_move,Resale,Apartment,14722,8600000
594,2,1,Semi-Furnished,Paschim Vihar, West Delhi,"Ashoka Apartment, Paschim Vihar Block A2",1,Ready_to_move,Resale,Apartment,10943,6500000
900,2,2,Semi-Furnished,Punjabi Bagh, West Delhi,"Bhagwan Das Nagar, Punjabi Bagh",1,Ready_to_move,Resale,Builder_Floor,16667,15000000
464,3,1,Unfurnished,Punjabi Bagh, West Delhi,"Bhagwan Das Nagar, Punjabi Bagh",1,Ready_to_move,Resale,Builder_Floor,15278,4200000
800,3,2,Unfurnished,Paschim Vihar, West Delhi,"DDA Lig Flats, Paschim Vihar",1,Ready_to_move,Resale,Apartment,7875,6300000
405,1,1,Semi-Furnished,Paschim Vihar, West Delhi,"DDA Lig Flats, Paschim Vihar carpet area 45 sqyrd status Ready to Move floor 4 out of 4 floors transaction Resale furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road society DDA Lig Flats bathroom 1 balcony 1 ownership Freehold East Facing Property Expected price for the Flat is kept at 45 Lac. This is a 1 bedroom apartment present in DDA Lig Flats, Paschim Vihar. It measures an area of 45 Sq-m. It is on 4 floor out of 4 floors in the tower and is also well ventilated. The Flat has 1 washroom and also has 1 spacious balcony. read more Contact Owner View Phone No. Share Feedback Owner Anil",1,Ready_to_move,Resale,Apartment,14722,4500000
1240,3,3,Unfurnished,Moti Nagar, West Delhi,"DLF Capital Greens, Moti Nagar, Kirti Nagar ( 1 km from New Moti Nagar, Kirti Nagar)",1,Ready_to_move,Resale,Apartment,,18000000
2175,4,4,Unfurnished,Moti Nagar, West Delhi,"DLF Capital Greens, Moti Nagar, Kirti Nagar ( 1 km from New Moti Nagar, Kirti Nagar)",1,Ready_to_move,Resale,Apartment,8889,44000000
3002,4,5,Semi-Furnished,Moti Nagar, West Delhi,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,Ready_to_move,Resale,Apartment,,50000000
1450,3,3,Semi-Furnished,Moti Nagar, West Delhi,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,Ready_to_move,New_Property,Apartment,,15500000
1250,2,2,Furnished,Moti Nagar, West Delhi,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",2,Ready_to_move,Resale,Apartment,,15000000
