,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked
0,1,0,3,0,1,0,7.25,2
1,2,1,1,1,1,0,71.2833,0
2,3,1,3,1,0,0,7.925,2
3,4,1,1,1,1,0,53.1,2
4,5,0,3,0,0,0,8.05,2
5,6,0,3,0,0,0,8.4583,1
6,7,0,1,0,0,0,51.8625,2
7,8,0,3,0,3,1,21.075,2
8,9,1,3,1,0,2,11.1333,2
9,10,1,2,1,1,0,30.0708,0
10,11,1,3,1,1,1,16.7,2
11,12,1,1,1,0,0,26.55,2
12,13,0,3,0,0,0,8.05,2
13,14,0,3,0,1,5,31.275,2
14,15,0,3,1,0,0,7.8542,2
15,16,1,2,1,0,0,16.0,2
16,17,0,3,0,4,1,29.125,1
17,18,1,2,0,0,0,13.0,2
18,19,0,3,1,1,0,18.0,2
19,20,1,3,1,0,0,7.225,0
20,21,0,2,0,0,0,26.0,2
21,22,1,2,0,0,0,13.0,2
22,23,1,3,1,0,0,8.0292,1
23,24,1,1,0,0,0,35.5,2
24,25,0,3,1,3,1,21.075,2
25,26,1,3,1,1,5,31.3875,2
26,27,0,3,0,0,0,7.225,0
27,28,0,1,0,3,2,263.0,2
28,29,1,3,1,0,0,7.8792,1
29,30,0,3,0,0,0,7.8958,2
30,31,0,1,0,0,0,27.7208,0
31,32,1,1,1,1,0,146.5208,0
32,33,1,3,1,0,0,7.75,1
33,34,0,2,0,0,0,10.5,2
34,35,0,1,0,1,0,82.1708,0
35,36,0,1,0,1,0,52.0,2
36,37,1,3,0,0,0,7.2292,0
37,38,0,3,0,0,0,8.05,2
38,39,0,3,1,2,0,18.0,2
39,40,1,3,1,1,0,11.2417,0
40,41,0,3,1,1,0,9.475,2
41,42,0,2,1,1,0,21.0,2
42,43,0,3,0,0,0,7.8958,0
43,44,1,2,1,1,2,41.5792,0
44,45,1,3,1,0,0,7.8792,1
45,46,0,3,0,0,0,8.05,2
46,47,0,3,0,1,0,15.5,1
47,48,1,3,1,0,0,7.75,1
48,49,0,3,0,2,0,21.6792,0
49,50,0,3,1,1,0,17.8,2
50,51,0,3,0,4,1,39.6875,2
51,52,0,3,0,0,0,7.8,2
52,53,1,1,1,1,0,76.7292,0
53,54,1,2,1,1,0,26.0,2
54,55,0,1,0,0,1,61.9792,0
55,56,1,1,0,0,0,35.5,2
56,57,1,2,1,0,0,10.5,2
57,58,0,3,0,0,0,7.2292,0
58,59,1,2,1,1,2,27.75,2
59,60,0,3,0,5,2,46.9,2
60,61,0,3,0,0,0,7.2292,0
62,63,0,1,0,1,0,83.475,2
63,64,0,3,0,3,2,27.9,2
64,65,0,1,0,0,0,27.7208,0
65,66,1,3,0,1,1,15.2458,0
66,67,1,2,1,0,0,10.5,2
67,68,0,3,0,0,0,8.1583,2
68,69,1,3,1,4,2,7.925,2
69,70,0,3,0,2,0,8.6625,2
70,71,0,2,0,0,0,10.5,2
71,72,0,3,1,5,2,46.9,2
72,73,0,2,0,0,0,73.5,2
73,74,0,3,0,1,0,14.4542,0
74,75,1,3,0,0,0,56.4958,2
75,76,0,3,0,0,0,7.65,2
76,77,0,3,0,0,0,7.8958,2
77,78,0,3,0,0,0,8.05,2
78,79,1,2,0,0,2,29.0,2
79,80,1,3,1,0,0,12.475,2
80,81,0,3,0,0,0,9.0,2
81,82,1,3,0,0,0,9.5,2
82,83,1,3,1,0,0,7.7875,1
83,84,0,1,0,0,0,47.1,2
84,85,1,2,1,0,0,10.5,2
85,86,1,3,1,3,0,15.85,2
86,87,0,3,0,1,3,34.375,2
87,88,0,3,0,0,0,8.05,2
88,89,1,1,1,3,2,263.0,2
89,90,0,3,0,0,0,8.05,2
90,91,0,3,0,0,0,8.05,2
91,92,0,3,0,0,0,7.8542,2
92,93,0,1,0,1,0,61.175,2
93,94,0,3,0,1,2,20.575,2
94,95,0,3,0,0,0,7.25,2
95,96,0,3,0,0,0,8.05,2
96,97,0,1,0,0,0,34.6542,0
97,98,1,1,0,0,1,63.3583,0
98,99,1,2,1,0,1,23.0,2
99,100,0,2,0,1,0,26.0,2
100,101,0,3,1,0,0,7.8958,2
101,102,0,3,0,0,0,7.8958,2
102,103,0,1,0,0,1,77.2875,2
103,104,0,3,0,0,0,8.6542,2
104,105,0,3,0,2,0,7.925,2
105,106,0,3,0,0,0,7.8958,2
106,107,1,3,1,0,0,7.65,2
107,108,1,3,0,0,0,7.775,2
108,109,0,3,0,0,0,7.8958,2
109,110,1,3,1,1,0,24.15,1
110,111,0,1,0,0,0,52.0,2
111,112,0,3,1,1,0,14.4542,0
112,113,0,3,0,0,0,8.05,2
113,114,0,3,1,1,0,9.825,2
114,115,0,3,1,0,0,14.4583,0
115,116,0,3,0,0,0,7.925,2
116,117,0,3,0,0,0,7.75,1
117,118,0,2,0,1,0,21.0,2
118,119,0,1,0,0,1,247.5208,0
119,120,0,3,1,4,2,31.275,2
120,121,0,2,0,2,0,73.5,2
121,122,0,3,0,0,0,8.05,2
122,123,0,2,0,1,0,30.0708,0
123,124,1,2,1,0,0,13.0,2
124,125,0,1,0,0,1,77.2875,2
125,126,1,3,0,1,0,11.2417,0
126,127,0,3,0,0,0,7.75,1
127,128,1,3,0,0,0,7.1417,2
128,129,1,3,1,1,1,22.3583,0
129,130,0,3,0,0,0,6.975,2
130,131,0,3,0,0,0,7.8958,0
131,132,0,3,0,0,0,7.05,2
132,133,0,3,1,1,0,14.5,2
133,134,1,2,1,1,0,26.0,2
134,135,0,2,0,0,0,13.0,2
135,136,0,2,0,0,0,15.0458,0
136,137,1,1,1,0,2,26.2833,2
